"pollscore","numeric_grade","duration","sample_size","population","party","hypothetical","internal","pct"
-0.3,1.3,24,772,"lv","REP","true","true",33.2
-0.1,2.3,4,640,"lv","DEM","true","false",34.6
0.8,1.8,10,423,"rv","REP","false","true",35.2
0,1.7,31,1078,"rv","DEM","false","false",59.5
0.1,1,32,958,"rv","DEM","false","false",60.3
0.9,2,31,1102,"rv","DEM","true","true",69.7
0.2,1.2,10,436,"rv","REP","false","true",55
-0.6,0.3,35,1085,"rv","REP","false","true",41.5
-0.3,1.6,23,965,"rv","REP","true","true",38
-0.2,2.9,29,702,"rv","DEM","true","false",62
0.6,1.4,30,1118,"lv","DEM","true","true",59.1
0.2,2.6,34,418,"lv","REP","false","true",38.7
0.2,0.4,20,1111,"lv","REP","false","false",59.8
0.1,1.9,13,1070,"rv","DEM","true","true",64.7
-0.3,2.5,35,777,"lv","DEM","true","false",51.2
0.9,2.3,22,948,"lv","DEM","true","false",53.9
0.2,2.1,18,1014,"lv","DEM","false","true",67.5
-1,1.4,13,643,"rv","DEM","false","true",68
0.4,1.2,31,447,"rv","DEM","true","false",56.4
-0.2,1,31,587,"lv","DEM","true","false",32.9
-0.5,2.1,26,863,"rv","DEM","false","true",63.1
-0.1,1.1,4,792,"lv","DEM","false","true",49.2
-0.5,1.5,19,538,"rv","DEM","false","false",45.6
-0.4,1.7,33,698,"lv","REP","true","true",42
-0.3,3.8,18,770,"rv","DEM","true","false",39.8
-0.8,1.3,33,1069,"rv","REP","false","false",46.9
0.4,2.2,27,588,"rv","DEM","false","false",67.5
0.1,2.1,14,710,"lv","REP","true","true",40.6
-0.6,1,21,588,"lv","REP","false","true",52.7
0.6,1.9,21,817,"rv","DEM","false","false",38.1
0.2,3.4,30,968,"rv","REP","true","false",37.7
-0.1,2.5,21,781,"rv","REP","false","true",58.7
0.4,2,31,437,"rv","DEM","true","false",42.5
0.4,1.6,9,483,"rv","DEM","false","true",35.5
0.4,-0.1,11,718,"lv","REP","false","true",32.3
0.3,3.1,18,1085,"lv","REP","true","true",67.2
0.3,0.5,19,1245,"rv","DEM","true","false",52.7
0,2.7,12,1237,"lv","REP","false","false",34.7
-0.2,3.9,3,801,"rv","DEM","true","false",52.6
-0.2,0.6,20,1041,"lv","REP","true","true",51.6
-0.3,2.7,14,519,"lv","REP","true","true",62.8
-0.1,1.7,14,1111,"lv","REP","true","true",58.1
-0.6,0.4,32,730,"lv","DEM","true","false",52.7
1.1,0.5,31,932,"lv","DEM","true","true",58.9
0.6,0.4,23,840,"rv","REP","true","true",60.1
-0.6,1.5,31,598,"rv","REP","false","false",45.3
-0.2,0.5,11,898,"lv","REP","false","false",41.5
-0.2,2.7,17,998,"rv","DEM","true","false",51.3
0.4,4.1,6,471,"lv","DEM","false","false",40.4
0,0.7,34,714,"lv","REP","true","false",63.3
0.1,2.8,17,1113,"lv","DEM","true","false",46.2
0,2.8,29,1076,"rv","REP","false","false",32.9
0,2.3,13,480,"lv","REP","false","true",68.2
0.7,1,29,454,"lv","REP","true","true",38.7
-0.1,1.9,3,533,"lv","REP","false","true",46.2
0.8,1.7,13,823,"lv","DEM","true","true",55
-0.8,2.6,7,1155,"rv","REP","true","true",55.1
0.3,1.6,17,405,"lv","REP","false","false",43.1
0.1,3,16,527,"rv","DEM","false","false",35.6
0.1,1.6,20,1067,"rv","DEM","false","true",66.6
0.2,3.1,4,1199,"rv","REP","true","true",54
-0.3,1,34,448,"lv","REP","false","true",60
-0.2,0.7,34,1138,"lv","DEM","true","false",66.8
-0.5,5.2,12,875,"lv","DEM","true","true",51.2
-0.5,1.6,11,638,"rv","DEM","true","false",44.9
0.2,2.3,25,739,"rv","DEM","false","true",32.6
0.2,2.6,29,592,"lv","DEM","false","true",64.2
0,1.5,19,1108,"rv","DEM","false","true",50.4
0.5,2.5,18,858,"lv","DEM","false","true",38.4
1,2.4,21,702,"rv","DEM","false","true",45
-0.2,1.8,10,547,"lv","DEM","false","false",38.3
-1.2,2.1,12,589,"rv","DEM","false","false",48.4
0.5,2,9,1023,"rv","REP","true","false",39.7
-0.4,4.1,6,590,"rv","DEM","true","true",34.7
-0.3,1.3,30,845,"rv","DEM","true","true",32.9
0.5,0.9,7,518,"rv","DEM","false","true",57.6
-0.1,2,11,1026,"rv","REP","false","false",41.5
-0.6,2.3,27,921,"rv","REP","false","false",36
0.1,2.4,10,1026,"rv","REP","false","false",68.9
-0.1,1.5,12,458,"lv","REP","true","true",46.4
0,0.9,7,1216,"lv","REP","false","false",46.1
0.2,3.3,33,460,"rv","REP","true","true",55.9
-0.2,1.7,13,821,"lv","REP","true","false",66.7
0.3,1.1,20,507,"lv","REP","false","false",38.7
-0.1,1.8,28,691,"rv","DEM","false","true",51.9
0.2,1.8,33,772,"lv","DEM","true","true",58.8
0.5,3.1,28,934,"lv","REP","false","false",45.9
0.2,2.1,31,514,"rv","REP","true","false",33.8
-0.2,2.8,5,999,"rv","DEM","false","true",55.4
0.6,1.5,25,1043,"lv","REP","true","true",30.1
0.5,2.2,29,812,"lv","DEM","true","false",38.4
0.3,1.7,4,1097,"lv","DEM","true","false",57.2
0.1,2.1,7,1162,"lv","DEM","false","false",64.6
-0.3,1.1,31,602,"lv","DEM","true","true",62
0.7,0.7,11,1157,"lv","DEM","false","false",35.4
-0.3,4,26,645,"rv","DEM","false","false",45.5
1.1,2.6,26,839,"rv","REP","true","false",61.5
0.8,0.7,5,1089,"rv","REP","true","false",57.7
-0.1,1.4,16,650,"rv","DEM","true","true",53.8
-0.5,0.8,23,959,"lv","DEM","false","false",35
